step,loss
0,0.00279012
100,0.0291578
200,0.04963
300,0.00953999
400,0.0102818
500,0.0123465
600,0.0146661
700,0.0110964
800,0.00727206
900,0.00902004
1000,0.0108972
1100,0.00763748
1200,0.0225131
1300,0.0187325
1400,0.0143274
1500,0.00938148
1600,0.0194857
1700,0.00705374
1800,0.00558818
1900,0.00971446
2000,0.0114591
2100,0.00606537
2200,0.0074645
2300,0.00717493
2400,0.0121521
2500,0.00876884
2600,0.00579136
2700,0.0065564
2800,0.0153054
2900,0.00934884
3000,0.00709471
3100,0.00390494
3200,0.0067527
3300,0.00907837
3400,0.0081757
3500,0.00634605
3600,0.00524694
3700,0.00746861
3800,0.00966202
3900,0.00467359
4000,0.00820255
4100,0.00640466
4200,0.00884783
4300,0.00562634
4400,0.00591214
4500,0.00669312
4600,0.0045932
4700,0.00599422
4800,0.00746689
4900,0.0153038
5000,0.00526561
5100,0.0060921
5200,0.0103253
5300,0.00405505
5400,0.00537013
5500,0.00475823
5600,0.00458381
5700,0.00435763
5800,0.00623397
5900,0.00667994
6000,0.00667574
6100,0.00610056
6200,0.00676505
6300,0.00447945
6400,0.00470327
6500,0.0053916
6600,0.00605197
6700,0.00492156
6800,0.00461659
6900,0.00503017
7000,0.00399899
7100,0.00360276
7200,0.00483031
7300,0.00689536
7400,0.00497928
7500,0.00337037
7600,0.0037027
7700,0.00275313
7800,0.00464305
7900,0.00540177
8000,0.00541819
8100,0.00477596
8200,0.00512988
8300,0.00449414
8400,0.0118464
8500,0.00560163
8600,0.00421329
8700,0.00390469
8800,0.00407675
8900,0.00459761
9000,0.00389577
9100,0.00486278
9200,0.00425305
9300,0.00394519
9400,0.00478476
9500,0.00625642
9600,0.00605042
9700,0.00437995
9800,0.00415026
9900,0.00557791
10000,0.00365609
10100,0.00697902
10200,0.00518784
10300,0.0053591
10400,0.00418943
10500,0.00344674
10600,0.00523294
10700,0.00384183
10800,0.00318476
10900,0.0047971
11000,0.00459843
11100,0.00695942
11200,0.00388773
11300,0.00469765
11400,0.00395208
11500,0.00436913
11600,0.00484489
11700,0.00474372
11800,0.00507978
11900,0.00453033
12000,0.00345748
12100,0.00423577
12200,0.00292534
12300,0.00376388
12400,0.00460576
12500,0.00473607
12600,0.00476607
12700,0.00388466
12800,0.00467043
12900,0.00373841
13000,0.00317239
13100,0.00368823
13200,0.00418597
13300,0.0056006
13400,0.00338789
13500,0.00443345
13600,0.00490271
13700,0.00347859
13800,0.00350586
13900,0.00441238
14000,0.00314787
14100,0.00388751
14200,0.00406527
14300,0.00421321
14400,0.00424981
14500,0.00351282
14600,0.00337946
14700,0.00343391
14800,0.0046082
14900,0.00423249
15000,0.00391504
15100,0.00377307
15200,0.00362021
15300,0.00387326
15400,0.00365043
15500,0.00441509
15600,0.00360911
15700,0.00359055
15800,0.00369417
15900,0.00316727
16000,0.00376599
16100,0.0038351
16200,0.0039021
16300,0.00348284
16400,0.00293767
16500,0.00413895
16600,0.00367859
16700,0.00463535
16800,0.00334164
16900,0.00421511
17000,0.00369076
17100,0.00398138
17200,0.00380983
17300,0.00427531
17400,0.00303518
17500,0.00346687
17600,0.00335113
17700,0.00316067
17800,0.00376703
17900,0.00375459
18000,0.00407969
18100,0.00354878
18200,0.00342711
18300,0.00467878
18400,0.00326669
18500,0.00361548
18600,0.00388246
18700,0.00364958
18800,0.00373714
18900,0.00340888
19000,0.00298461
19100,0.00323871
19200,0.003175
19300,0.00381111
19400,0.00338025
19500,0.00295715
19600,0.00367028
19700,0.00344815
19800,0.0034159
19900,0.00351932
20000,0.00364617
20100,0.00415987
20200,0.00458408
20300,0.00331081
20400,0.00297757
20500,0.00305776
20600,0.00395422
20700,0.00301109
20800,0.00389359
20900,0.00379373
21000,0.00349075
21100,0.00400662
21200,0.0031987
21300,0.00429741
21400,0.00395666
21500,0.00457358
21600,0.00557225
21700,0.003878
21800,0.00336483
21900,0.00373833
22000,0.00360967
22100,0.00310916
22200,0.00325319
22300,0.00335023
22400,0.00299969
22500,0.0026756
22600,0.00353213
22700,0.00317283
22800,0.00425512
22900,0.0028835
23000,0.00321484
23100,0.003244
23200,0.00304903
23300,0.0033329
23400,0.00276765
23500,0.00319655
23600,0.00372908
23700,0.00336872
23800,0.00359266
23900,0.00281849
24000,0.00308902
24100,0.00302794
24200,0.00298016
24300,0.00268634
24400,0.00306922
24500,0.00283311
24600,0.0036532
24700,0.00326452
24800,0.00368563
24900,0.00313051
25000,0.00298365
25100,0.00292626
25200,0.00382672
25300,0.00312406
25400,0.0030853
25500,0.00476903
25600,0.00362043
25700,0.00323309
25800,0.00323262
25900,0.00273465
26000,0.00294264
